iter	F1	Logloss
0	0.6976793249	0.6848696083
1	0.6994019515	0.6771017804
2	0.700220195	0.6692980699
3	0.7011023622	0.6623355404
4	0.7034611787	0.6551718576
5	0.7065397351	0.6480056581
6	0.7063081696	0.6412685707
7	0.7065420561	0.6353228716
8	0.7072817542	0.629550279
9	0.7063081696	0.6243597499
10	0.7076319323	0.6189535799
11	0.7074829932	0.6139064429
12	0.7072768501	0.6087038473
13	0.7075559221	0.604413738
14	0.7076923077	0.5997241049
15	0.7072439806	0.5954177826
16	0.7062603648	0.5911355294
17	0.7066874028	0.5868934363
18	0.7064429252	0.583134629
19	0.7078325736	0.5792901536
20	0.7078802941	0.5755583624
21	0.7078325736	0.5723276637
22	0.7075872063	0.5691426625
23	0.7071251036	0.5659551594
24	0.7076253626	0.5629008352
25	0.7087559511	0.5599402271
26	0.7086695634	0.5570672414
27	0.7082299421	0.5543244721
28	0.7081824765	0.5515437825
29	0.7079884106	0.5491349091
30	0.7079151578	0.5464766525
31	0.7081389321	0.5443615555
32	0.7082728592	0.542872956
33	0.7080783988	0.5407067655
34	0.7083462934	0.5383753733
35	0.7084932075	0.5370354949
36	0.7088082902	0.5350539626
37	0.7089815391	0.5330632344
38	0.7094096898	0.5312948101
39	0.7095435685	0.5293692033
40	0.7086532476	0.5274053088
41	0.7089211618	0.5256605331
42	0.7090078871	0.523928248
43	0.7089343157	0.5222218162
44	0.7085927771	0.5207017456
45	0.7090550773	0.5192682082
46	0.7091418491	0.5176578684
47	0.7095435685	0.5160094706
48	0.710313343	0.514630753
49	0.710313343	0.5132813567
50	0.7105809129	0.5120434496
51	0.7111894639	0.5106993497
52	0.7116500829	0.5093562733
53	0.7125556361	0.5083813467
54	0.713753878	0.5073947758
55	0.7137392743	0.5062711789
56	0.713502328	0.5051069606
57	0.714625323	0.5041403946
58	0.7155394941	0.5029750921
59	0.7151414997	0.5017504808
60	0.7162176112	0.5005871712
61	0.7170978048	0.4995580782
62	0.7171717172	0.4986156154
63	0.7180966114	0.4975277086
64	0.7182866557	0.4961305317
65	0.7188721959	0.495221438
66	0.7194984068	0.4942605602
67	0.7197452229	0.4934907298
68	0.7200246584	0.49260331
69	0.7206078653	0.491793792
70	0.7218060544	0.4909472833
71	0.7217319926	0.4900552261
72	0.7227063045	0.4890972458
73	0.7226322263	0.4883271117
74	0.7227803978	0.4874499169
75	0.7231163506	0.4867683625
76	0.7236963426	0.4859518755
77	0.7235480897	0.4852409796
78	0.7239615306	0.4842816674
79	0.7243353783	0.4836744751
80	0.7250051114	0.483034648
81	0.7252095686	0.4823775368
82	0.7257125345	0.4817231347
83	0.7259728322	0.4811150359
84	0.7261406553	0.4803581044
85	0.7270314414	0.4797337326
86	0.7272727273	0.4791735719
87	0.7276995305	0.478592287
88	0.7279779524	0.4780326051
89	0.7282741738	0.4772124906
90	0.7282187309	0.4766194196
91	0.7291242363	0.4759513409
92	0.729011906	0.4753580864
93	0.7294356889	0.4747926879
94	0.7299522309	0.4742471818
95	0.7305425726	0.4737147621
96	0.7305973182	0.4731821958
97	0.7313705584	0.4725921086
98	0.7315340909	0.4721027562
99	0.7325628548	0.4716690052
100	0.7319545823	0.471045704
101	0.7326512005	0.4703386027
102	0.7324827866	0.4698304265
103	0.7332185886	0.4694043367
104	0.7343512994	0.4689066677
105	0.7339876556	0.4685497258
106	0.7341157426	0.4681028878
107	0.7345535443	0.467552925
108	0.7349909036	0.4670061156
