iter	Passed	Remaining
0	25	25012
1	49	24926
2	75	25173
3	103	25683
4	132	26457
5	170	28197
6	197	28035
7	224	27806
8	250	27559
9	283	28093
10	309	27783
11	336	27683
12	361	27478
13	387	27302
14	412	27086
15	438	26952
16	464	26832
17	490	26737
18	515	26625
19	542	26567
20	567	26452
21	593	26387
22	618	26290
23	644	26219
24	670	26147
25	696	26097
26	722	26031
27	749	26026
28	775	25970
29	802	25931
30	827	25872
31	853	25804
32	865	25375
33	891	25329
34	916	25282
35	930	24927
36	956	24888
37	982	24862
38	1008	24841
39	1033	24802
40	1059	24774
41	1087	24800
42	1115	24815
43	1142	24817
44	1168	24788
45	1193	24752
46	1218	24708
47	1243	24658
48	1267	24599
49	1292	24548
50	1316	24492
51	1341	24448
52	1365	24402
53	1390	24354
54	1415	24319
55	1440	24281
56	1465	24239
57	1490	24207
58	1515	24178
59	1541	24147
60	1566	24112
61	1591	24081
62	1616	24045
63	1643	24037
64	1668	23998
65	1693	23966
66	1719	23937
67	1743	23901
68	1768	23857
69	1793	23824
70	1818	23788
71	1843	23762
72	1868	23725
73	1893	23694
74	1919	23671
75	1944	23639
76	1970	23617
77	1994	23577
78	2020	23552
79	2045	23523
80	2070	23495
81	2102	23534
82	2128	23516
83	2154	23491
84	2179	23464
85	2204	23427
86	2229	23393
87	2253	23357
88	2278	23325
89	2304	23296
90	2329	23270
91	2355	23242
92	2379	23203
93	2404	23178
94	2430	23150
95	2455	23123
96	2481	23097
97	2505	23061
98	2530	23030
99	2555	22997
100	2580	22969
101	2606	22948
102	2631	22920
103	2656	22888
104	2681	22858
105	2706	22827
106	2731	22798
107	2756	22762
108	2780	22726
109	2805	22698
110	2829	22658
111	2854	22629
112	2879	22604
113	2905	22578
114	2930	22551
115	2955	22525
116	2981	22499
117	3006	22473
118	3032	22447
119	3057	22419
120	3084	22405
121	3113	22403
122	3139	22382
123	3164	22355
124	3189	22326
125	3214	22299
126	3239	22271
127	3265	22243
128	3290	22214
129	3314	22179
130	3339	22151
131	3363	22120
132	3389	22095
133	3414	22064
134	3439	22037
135	3464	22006
136	3489	21980
137	3514	21951
138	3539	21923
139	3564	21894
140	3589	21868
141	3615	21845
142	3640	21816
143	3665	21787
144	3689	21757
145	3714	21726
146	3739	21699
147	3764	21672
148	3789	21643
149	3814	21617
150	3838	21584
151	3863	21554
152	3887	21522
153	3927	21576
154	3952	21546
155	3977	21516
156	4002	21490
157	4027	21462
158	4053	21440
159	4079	21418
160	4105	21395
161	4135	21390
162	4164	21384
163	4189	21358
164	4215	21332
165	4240	21305
166	4265	21275
167	4289	21243
168	4314	21214
169	4339	21188
170	4364	21160
171	4389	21133
172	4415	21105
173	4441	21082
174	4466	21056
175	4492	21031
176	4517	21005
177	4542	20978
178	4568	20951
179	4593	20924
180	4618	20898
181	4643	20872
182	4668	20841
183	4693	20815
184	4718	20787
185	4743	20760
186	4769	20734
187	4793	20705
188	4818	20677
189	4844	20653
190	4869	20626
191	4894	20597
192	4919	20568
193	4946	20550
194	4970	20520
195	4996	20496
196	5022	20470
197	5046	20442
198	5072	20418
199	5099	20399
200	5128	20385
201	5154	20362
202	5178	20332
203	5204	20306
204	5229	20280
205	5255	20256
206	5280	20230
207	5305	20199
208	5329	20168
209	5353	20140
210	5379	20113
211	5404	20088
212	5429	20062
213	5454	20035
214	5480	20009
215	5505	19983
216	5531	19957
217	5556	19930
218	5581	19904
219	5606	19879
220	5631	19851
221	5657	19825
222	5682	19799
223	5708	19774
224	5732	19746
225	5757	19719
226	5781	19687
227	5807	19662
228	5832	19636
229	5857	19609
230	5882	19583
231	5907	19555
232	5933	19530
233	5958	19504
234	5983	19476
235	6008	19451
236	6034	19425
237	6059	19399
238	6091	19396
239	6119	19377
240	6144	19352
241	6170	19327
242	6195	19301
243	6219	19270
244	6244	19242
245	6269	19215
246	6292	19183
247	6317	19156
248	6342	19130
249	6368	19104
250	6393	19077
251	6418	19051
252	6442	19021
253	6467	18994
254	6501	18995
255	6524	18963
256	6548	18932
257	6573	18905
258	6598	18879
259	6624	18854
260	6649	18827
261	6674	18801
262	6700	18775
263	6725	18750
264	6750	18724
265	6776	18698
266	6800	18670
267	6826	18644
268	6851	18617
269	6876	18591
270	6901	18565
271	6926	18539
272	6954	18518
273	6979	18493
274	7004	18466
275	7028	18438
276	7054	18413
277	7080	18389
278	7096	18339
279	7123	18318
280	7148	18290
281	7172	18263
282	7197	18235
283	7222	18209
284	7248	18183
285	7273	18158
286	7299	18134
287	7324	18108
288	7342	18062
289	7366	18035
290	7391	18009
291	7416	17983
292	7441	17956
293	7466	17930
294	7491	17904
295	7517	17879
296	7543	17854
297	7568	17828
298	7593	17803
299	7619	17778
300	7644	17751
301	7669	17725
302	7694	17698
303	7719	17673
304	7744	17646
305	7769	17620
306	7793	17592
307	7819	17567
308	7844	17542
309	7869	17515
310	7894	17490
311	7920	17465
312	7945	17439
313	7972	17417
314	7996	17390
315	8021	17364
316	8047	17338
317	8072	17313
318	8102	17297
319	8131	17279
320	8156	17253
321	8181	17227
322	8207	17202
323	8232	17175
324	8258	17151
325	8284	17127
326	8308	17100
327	8334	17075
328	8360	17050
329	8385	17024
330	8410	16999
331	8436	16973
332	8461	16948
333	8487	16924
334	8513	16899
335	8538	16874
336	8564	16848
337	8589	16822
338	8613	16795
339	8638	16768
340	8664	16743
341	8689	16717
342	8714	16692
343	8738	16664
344	8762	16636
345	8787	16609
346	8812	16584
347	8838	16558
348	8863	16533
349	8888	16506
350	8912	16479
351	8938	16454
352	8963	16427
353	8988	16402
